,Gestational_Age,State,Race,month_care_began,num_births
138,2.0,13.0,3,99.0,88.0
139,2.0,15.0,1,2.0,32.0
140,2.0,15.0,1,3.0,17.0
141,2.0,15.0,1,99.0,13.0
142,2.0,16.0,3,2.0,28.0
143,2.0,16.0,3,3.0,32.0
144,2.0,16.0,3,4.0,14.0
145,2.0,17.0,1,1.0,10.0
146,2.0,17.0,1,2.0,14.0
147,2.0,17.0,1,3.0,15.0
148,2.0,17.0,2,0.0,56.0
149,2.0,17.0,2,1.0,53.0
150,2.0,17.0,2,2.0,130.0
151,2.0,17.0,2,3.0,102.0
152,2.0,17.0,2,4.0,51.0
153,2.0,17.0,2,5.0,37.0
154,2.0,17.0,2,6.0,10.0
155,2.0,17.0,2,99.0,43.0
156,2.0,17.0,3,0.0,33.0
157,2.0,17.0,3,1.0,90.0
158,2.0,17.0,3,2.0,269.0
159,2.0,17.0,3,3.0,186.0
160,2.0,17.0,3,4.0,53.0
161,2.0,17.0,3,5.0,26.0
162,2.0,17.0,3,6.0,15.0
163,2.0,17.0,3,99.0,68.0
164,2.0,18.0,2,0.0,25.0
165,2.0,18.0,2,2.0,53.0
166,2.0,18.0,2,3.0,35.0
167,2.0,18.0,2,4.0,18.0
168,2.0,18.0,2,5.0,13.0
169,2.0,18.0,3,0.0,32.0
170,2.0,18.0,3,1.0,19.0
171,2.0,18.0,3,2.0,103.0
172,2.0,18.0,3,3.0,110.0
173,2.0,18.0,3,4.0,46.0
174,2.0,18.0,3,5.0,27.0
175,2.0,18.0,3,6.0,14.0
176,2.0,19.0,2,3.0,16.0
177,2.0,19.0,3,0.0,13.0
178,2.0,19.0,3,2.0,61.0
179,2.0,19.0,3,3.0,84.0
180,2.0,19.0,3,4.0,18.0
181,2.0,20.0,2,2.0,19.0
182,2.0,20.0,2,3.0,15.0
183,2.0,20.0,3,0.0,10.0
184,2.0,20.0,3,1.0,11.0
185,2.0,20.0,3,2.0,97.0
186,2.0,20.0,3,3.0,55.0
187,2.0,20.0,3,4.0,15.0
188,2.0,21.0,2,2.0,25.0
189,2.0,21.0,2,3.0,18.0
190,2.0,21.0,2,4.0,10.0
191,2.0,21.0,3,0.0,19.0
192,2.0,21.0,3,1.0,26.0
193,2.0,21.0,3,2.0,84.0
194,2.0,21.0,3,3.0,70.0
195,2.0,21.0,3,4.0,19.0
196,2.0,21.0,3,5.0,16.0
197,2.0,21.0,3,6.0,10.0
198,2.0,21.0,3,99.0,75.0
199,2.0,22.0,2,0.0,35.0
200,2.0,22.0,2,1.0,40.0
201,2.0,22.0,2,2.0,107.0
202,2.0,22.0,2,3.0,102.0
203,2.0,22.0,2,4.0,47.0
204,2.0,22.0,2,5.0,31.0
205,2.0,22.0,2,6.0,17.0
206,2.0,22.0,2,99.0,18.0
207,2.0,22.0,3,0.0,17.0
208,2.0,22.0,3,1.0,28.0
209,2.0,22.0,3,2.0,53.0
210,2.0,22.0,3,3.0,41.0
211,2.0,22.0,3,4.0,28.0
212,2.0,22.0,3,5.0,13.0
213,2.0,22.0,3,99.0,15.0
214,2.0,23.0,3,2.0,35.0
215,2.0,23.0,3,3.0,19.0
216,2.0,24.0,1,2.0,10.0
217,2.0,24.0,2,0.0,26.0
218,2.0,24.0,2,1.0,10.0
219,2.0,24.0,2,2.0,76.0
220,2.0,24.0,2,3.0,71.0
221,2.0,24.0,2,4.0,40.0
222,2.0,24.0,2,5.0,15.0
223,2.0,24.0,2,6.0,10.0
224,2.0,24.0,2,99.0,75.0
225,2.0,24.0,3,1.0,13.0
226,2.0,24.0,3,2.0,64.0
227,2.0,24.0,3,3.0,57.0
228,2.0,24.0,3,4.0,19.0
229,2.0,24.0,3,5.0,15.0
230,2.0,24.0,3,6.0,11.0
231,2.0,24.0,3,99.0,47.0
232,2.0,25.0,1,3.0,13.0
233,2.0,25.0,2,1.0,10.0
234,2.0,25.0,2,2.0,26.0
235,2.0,25.0,2,3.0,34.0
236,2.0,25.0,3,0.0,13.0
237,2.0,25.0,3,2.0,97.0
238,2.0,25.0,3,3.0,102.0
239,2.0,25.0,3,4.0,17.0
240,2.0,25.0,3,5.0,11.0
241,2.0,25.0,3,99.0,41.0
242,2.0,26.0,2,0.0,38.0
243,2.0,26.0,2,1.0,70.0
244,2.0,26.0,2,2.0,100.0
245,2.0,26.0,2,3.0,48.0
246,2.0,26.0,2,4.0,35.0
247,2.0,26.0,2,5.0,30.0
248,2.0,26.0,2,6.0,10.0
249,2.0,26.0,2,99.0,33.0
250,2.0,26.0,3,0.0,30.0
251,2.0,26.0,3,1.0,62.0
252,2.0,26.0,3,2.0,143.0
253,2.0,26.0,3,3.0,111.0
254,2.0,26.0,3,4.0,38.0
255,2.0,26.0,3,5.0,32.0
256,2.0,26.0,3,6.0,19.0
257,2.0,26.0,3,99.0,21.0
258,2.0,27.0,1,2.0,10.0
259,2.0,27.0,1,3.0,12.0
260,2.0,27.0,2,2.0,26.0
261,2.0,27.0,2,3.0,16.0
262,2.0,27.0,3,1.0,14.0
263,2.0,27.0,3,2.0,83.0
264,2.0,27.0,3,3.0,101.0
265,2.0,27.0,3,4.0,28.0
266,2.0,27.0,3,5.0,21.0
267,2.0,28.0,2,0.0,17.0
268,2.0,28.0,2,1.0,63.0
269,2.0,28.0,2,2.0,94.0
270,2.0,28.0,2,3.0,54.0
271,2.0,28.0,2,4.0,29.0
272,2.0,28.0,2,5.0,16.0
273,2.0,28.0,2,99.0,11.0
274,2.0,28.0,3,1.0,18.0
275,2.0,28.0,3,2.0,47.0
276,2.0,28.0,3,3.0,29.0
277,2.0,28.0,3,4.0,10.0
278,2.0,29.0,2,0.0,15.0
279,2.0,29.0,2,2.0,42.0
280,2.0,29.0,2,3.0,33.0
281,2.0,29.0,2,4.0,14.0
282,2.0,29.0,2,5.0,10.0
283,2.0,29.0,2,99.0,22.0
284,2.0,29.0,3,0.0,23.0
285,2.0,29.0,3,1.0,32.0
286,2.0,29.0,3,2.0,112.0
287,2.0,29.0,3,3.0,59.0
288,2.0,29.0,3,4.0,17.0
289,2.0,29.0,3,5.0,11.0
290,2.0,29.0,3,99.0,39.0
291,2.0,30.0,3,3.0,11.0
292,2.0,31.0,3,2.0,44.0
293,2.0,31.0,3,3.0,45.0
294,2.0,31.0,3,4.0,18.0
295,2.0,32.0,2,1.0,11.0
296,2.0,32.0,2,2.0,25.0
297,2.0,32.0,2,3.0,13.0
298,2.0,32.0,3,0.0,20.0
299,2.0,32.0,3,1.0,25.0
300,2.0,32.0,3,2.0,39.0
301,2.0,32.0,3,3.0,38.0
302,2.0,32.0,3,4.0,21.0
303,2.0,33.0,3,2.0,21.0
304,2.0,33.0,3,3.0,22.0
305,2.0,34.0,1,98.0,53.0
306,2.0,34.0,2,98.0,287.0
307,2.0,34.0,3,98.0,354.0
308,2.0,35.0,0,2.0,11.0
309,2.0,35.0,3,0.0,10.0
310,2.0,35.0,3,1.0,14.0
311,2.0,35.0,3,2.0,36.0
312,2.0,35.0,3,3.0,22.0
313,2.0,35.0,3,99.0,14.0
314,2.0,36.0,1,2.0,34.0
315,2.0,36.0,1,3.0,23.0
316,2.0,36.0,2,0.0,26.0
317,2.0,36.0,2,1.0,38.0
318,2.0,36.0,2,2.0,190.0
319,2.0,36.0,2,3.0,131.0
320,2.0,36.0,2,4.0,58.0
